Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,南京市,南京慧跑网络科技有限公司,医疗健康 · 文化娱乐,生活服务
江苏,南京市,北京建云科技股份有限公司,数据服务 · 移动互联网,IT技术
江苏,南京市,南京享声音响有限公司,文化娱乐 · 硬件,"电子制造,生活服务"
江苏,南京市,东软集团,金融,金融财经
江苏,南京市,湖南省创发科技有限责任公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京车易淘网络信息技术有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,南京有测网络科技有限公司,电子商务 · 企业服务,IT技术
江苏,南京市,光橙（上海）信息科技有限公司,电子商务 · O2O,IT技术
江苏,南京市,北京数码大方科技股份有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,南京恒怡程信息科技有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,北京网聚生活科技有限公司,移动互联网,IT技术
江苏,南京市,南京木语文化传媒有限公司,教育 · 生活服务,生活服务
江苏,南京市,南京富士通计算机设备有限公司,硬件,电子制造
江苏,南京市,北京河狸家信息技术有限公司,移动互联网,IT技术
江苏,南京市,深圳市易思博软件技术有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,南京市,南京奥派信息产业股份公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南京市,江苏蜂云供应链管理有限公司,电子商务 · O2O,IT技术
江苏,南京市,珠海市太川云社区技术股份有限公司,O2O,IT技术
江苏,南京市,深圳负空间科技有限公司,移动互联网 · 社交网络,IT技术
江苏,南京市,南京焕思信息科技有限公司,移动互联网,IT技术
江苏,南京市,数库（上海）科技有限公司,金融,金融财经
江苏,南京市,南京云恩通讯科技有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
江苏,南京市,南京云恩通讯科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,上海移品信息技术有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,杭州维时科技有限公司,电子商务 · O2O,IT技术
江苏,南京市,南京昊际源信息科技有限公司,移动互联网 · 其他,IT技术
江苏,南京市,南京码动通信科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,上海互享投资管理有限公司,教育 · 文化娱乐,生活服务
江苏,南京市,北京三友创美饲料科技股份有限公司,文化娱乐 · 其他,生活服务
江苏,南京市,杭州网兰科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京微特喜网络科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,南京烽火星空通信发展有限公司,移动互联网 · 信息安全,IT技术
江苏,南京市,越亮传奇科技股份有限公司,移动互联网,IT技术
江苏,南京市,北京意维科技有限公司,文化娱乐,生活服务
江苏,南京市,南京星购享信息科技有限公司,电子商务,IT技术
江苏,南京市,深圳市掌世界网络科技有限公司,移动互联网,IT技术
江苏,南京市,南京智推文化传媒有限公司,移动互联网 · 其他,IT技术
江苏,南京市,南京宝云信息科技有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,杭州导领科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南京市,北京立思辰教育科技发展有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南京市,杭州美哒网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,福州闲时间网络科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,江苏矽岸信息技术有限公司,游戏,IT技术
江苏,南京市,南京西桥科技有限公司,移动互联网,IT技术
江苏,南京市,广东网间互联科技有限公司,移动互联网,IT技术
江苏,南京市,南京应酷文化传播有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,上海聚微计算机技术有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,杭州湖畔网络技术有限公司,电子商务 · 企业服务,IT技术
江苏,南京市,南京易米云通网络科技有限公司,移动互联网,IT技术
江苏,南京市,广州酷旅旅行社有限公司,电子商务 · 生活服务,"IT技术,生活服务"
江苏,南京市,苏州爱说网络信息有限公司,移动互联网,IT技术
江苏,南京市,深圳市讯方技术股份有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京法尔斯特医药科技有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,南京市,上海拓攻机器人有限公司,硬件,电子制造
江苏,南京市,南京途趣网络科技有限公司,移动互联网 · 社交网络,IT技术
江苏,南京市,哈尔滨誉衡药业股份有限公司北京分公司,电子商务 · 医疗健康,"IT技术,生活服务"
江苏,南京市,南京步锐捷电子科技有限公司,移动互联网,IT技术
江苏,南京市,南京华设科技股份有限公司,其他,其他
江苏,南京市,南京易佰购电子科技有限公司,电子商务,IT技术
江苏,南京市,上海思众信息科技有限公司,O2O · 数据服务,IT技术
江苏,南京市,南京豆玩信息科技有限公司,移动互联网 · 社交网络,IT技术
江苏,南京市,南京价公信息技术有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,星环信息科技（上海）有限公司,数据服务,IT技术
江苏,南京市,南京元贝信息技术有限公司,移动互联网 · 生活服务,"IT技术,生活服务"
江苏,南京市,鼎捷软件股份有限公司江苏分公司,移动互联网,IT技术
江苏,南京市,上海百弘计算机软件有限公司南京分公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京酷九软件科技有限公司,移动互联网,IT技术
江苏,南京市,北京丁丁优房科技信息南京有限公司,O2O · 其他,IT技术
江苏,南京市,南京万存信息科技有限公司,移动互联网 · 数据服务,IT技术
